iteration,gen,bestfitness,time
3.0,1.0,2.7384255644610627,17.33042001724243
3.0,2.0,2.659846562287538,18.569376468658447
3.0,3.0,2.45830430083841,19.256160259246826
3.0,4.0,2.45830430083841,19.448426008224487
3.0,5.0,2.4151299068015235,19.584458589553833
3.0,6.0,2.4151299068015235,18.6417818069458
3.0,7.0,2.334851982195784,18.61317276954651
3.0,8.0,2.307729752329324,19.11803388595581
3.0,9.0,2.3077297523293234,18.62749457359314
3.0,10.0,2.282674158137862,19.527862310409546
3.0,11.0,2.2818346581835987,18.66427707672119
3.0,12.0,2.2680321053194517,19.47780990600586
3.0,13.0,2.2680321053194517,18.679944038391113
3.0,14.0,2.2581229615878584,19.383826971054077
3.0,15.0,2.212857417028269,19.19260549545288
3.0,16.0,2.1939751086886683,18.83600354194641
3.0,17.0,2.144009768530022,19.54620623588562
3.0,18.0,2.144009768530022,18.783127069473267
3.0,19.0,2.123195872463155,19.11316680908203
3.0,20.0,2.1071331769214594,19.383721590042114
3.0,21.0,2.104982570764455,18.888992309570312
3.0,22.0,2.0302383947502536,19.12603759765625
3.0,23.0,2.0302383947502536,19.30192518234253
3.0,24.0,1.9342863090339428,18.576892614364624
3.0,25.0,1.9078856541870663,18.760921955108643
3.0,26.0,1.8529281959600203,18.69950222969055
3.0,27.0,1.8448786920328064,18.939852476119995
3.0,28.0,1.8366085448563345,19.18747639656067
3.0,29.0,1.8270207757972239,18.81499934196472
3.0,30.0,1.8240893051938416,19.44948983192444
3.0,31.0,1.8184784111093097,18.683252811431885
3.0,32.0,1.8171681753747846,18.53032660484314
3.0,33.0,1.8160007053755483,19.468085527420044
3.0,34.0,1.8130094920163338,19.53495740890503
3.0,35.0,1.8114147603048671,19.28791832923889
3.0,36.0,1.8114147603048671,19.320212602615356
3.0,37.0,1.8076695324164296,18.79023838043213
3.0,38.0,1.7982354108288527,18.769712686538696
3.0,39.0,1.7859024149121312,19.21422791481018
3.0,40.0,1.783895458170974,18.803141117095947
3.0,41.0,1.7766556800754687,19.254015684127808
3.0,42.0,1.7760100420984053,18.630205631256104
3.0,43.0,1.7730418582087708,19.297529220581055
3.0,44.0,1.7730418582087708,18.913745164871216
3.0,45.0,1.7641877806447726,19.164515733718872
3.0,46.0,1.7641877806447726,19.480031967163086
3.0,47.0,1.7641877806447726,20.61773920059204
3.0,48.0,1.7630107325904418,19.579280853271484
3.0,49.0,1.7527163283029226,19.482194185256958
3.0,50.0,1.7468447264037532,19.702545166015625
3.0,51.0,1.732954753426915,19.53842806816101
3.0,52.0,1.6985336547217793,19.643028259277344
3.0,53.0,1.6985336547217793,18.94343376159668
3.0,54.0,1.6925850728344995,19.436123847961426
3.0,55.0,1.6840036606454662,18.800879955291748
3.0,56.0,1.6729862924858323,18.880609273910522
3.0,57.0,1.671999451315549,18.469323873519897
3.0,58.0,1.6624229026798518,19.380932807922363
3.0,59.0,1.657476728459321,18.43558621406555
3.0,60.0,1.650713110297663,18.58126139640808
3.0,61.0,1.631667193041662,18.91212034225464
3.0,62.0,1.577624103556252,19.23504900932312
3.0,63.0,1.577624103556252,19.27831268310547
3.0,64.0,1.5602729420127823,19.30386710166931
3.0,65.0,1.5473710377293937,19.171399116516113
3.0,66.0,1.5435838639359099,19.147902727127075
3.0,67.0,1.5029202580452257,19.056639671325684
3.0,68.0,1.4800373769410144,18.57509136199951
3.0,69.0,1.474176780402151,19.125934839248657
3.0,70.0,1.45960177003971,18.64870810508728
3.0,71.0,1.4430285260689064,19.39947509765625
3.0,72.0,1.4430285260689064,18.399656295776367
3.0,73.0,1.4430285260689064,18.73806667327881
3.0,74.0,1.4430285260689064,19.068665742874146
3.0,75.0,1.3846158213119444,19.262563705444336
3.0,76.0,1.3846158213119444,19.305583238601685
3.0,77.0,1.3456223461261552,18.637142419815063
3.0,78.0,1.3359299734593606,18.801029443740845
3.0,79.0,1.3154690430737483,18.565057039260864
3.0,80.0,1.314190370267737,19.022931337356567
3.0,81.0,1.3109967080019118,19.493847131729126
3.0,82.0,1.3109967080019118,19.45537281036377
3.0,83.0,1.3109967080019118,20.98327398300171
3.0,84.0,1.3102756768729618,21.844281911849976
3.0,85.0,1.2948184317789375,19.33710026741028
3.0,86.0,1.2777412887693018,18.7539324760437
3.0,87.0,1.2777412887693018,19.522345781326294
3.0,88.0,1.2718938065613539,18.918833017349243
3.0,89.0,1.2684647852932946,19.416237831115723
3.0,90.0,1.2684647852932946,19.220572233200073
3.0,91.0,1.267795891282829,19.814453125
3.0,92.0,1.2672008007214166,19.8164541721344
3.0,93.0,1.2667784412136969,19.175668001174927
3.0,94.0,1.2664272077446697,18.620464324951172
3.0,95.0,1.2654736431536557,18.901652097702026
3.0,96.0,1.2654736431536557,19.14232897758484
3.0,97.0,1.2654736431536557,18.849553108215332
3.0,98.0,1.26537817314667,18.696287870407104
3.0,99.0,1.2653613351123276,20.01934051513672
3.0,100.0,1.20027924926197,19.879987001419067
1.0,1.0,2.7401860436125505,17.039045095443726
1.0,2.0,2.6749434922852786,18.416520595550537
1.0,3.0,2.6749434922852786,19.01662516593933
1.0,4.0,2.577062330940466,19.404529333114624
1.0,5.0,2.435874177058066,19.385567903518677
1.0,6.0,2.435874177058066,19.674681186676025
1.0,7.0,2.435874177058066,18.72953963279724
1.0,8.0,2.435874177058066,18.853359699249268
1.0,9.0,2.3906802873023842,18.80041742324829
1.0,10.0,2.364830920076668,18.750730752944946
1.0,11.0,2.232387086140925,19.35105800628662
1.0,12.0,2.232387086140925,19.25768256187439
1.0,13.0,2.232387086140925,19.635759353637695
1.0,14.0,2.232387086140925,19.18740224838257
1.0,15.0,2.2225262261530854,18.786633253097534
1.0,16.0,2.2225262261530854,19.03345823287964
1.0,17.0,2.2040857345889573,19.438422918319702
1.0,18.0,2.203850029227381,19.34803533554077
1.0,19.0,2.1920073308009718,19.391945123672485
1.0,20.0,2.1920073308009718,19.442131996154785
1.0,21.0,2.1920073308009718,19.766730546951294
1.0,22.0,2.19131027871114,19.429945945739746
1.0,23.0,2.1870018231892208,18.79311728477478
1.0,24.0,2.1870018231892208,18.993484497070312
1.0,25.0,2.1863031884834174,18.78935718536377
1.0,26.0,2.1856479252827907,18.864417791366577
1.0,27.0,2.184509659639307,19.185275316238403
1.0,28.0,2.184509659639307,18.86655068397522
1.0,29.0,2.1839002214291336,19.040658950805664
1.0,30.0,2.1839002214291336,19.398923635482788
1.0,31.0,2.183720074275182,19.072575330734253
1.0,32.0,2.183720074275182,19.06630849838257
1.0,33.0,2.1754374586235365,19.340134382247925
1.0,34.0,2.1754374586235365,18.725339651107788
1.0,35.0,2.1754374586235365,19.288397789001465
1.0,36.0,2.1734653671988124,20.020360708236694
1.0,37.0,2.171403509072419,19.278735160827637
1.0,38.0,2.171403509072419,19.56830644607544
1.0,39.0,2.170928798860032,18.843336582183838
1.0,40.0,2.170928798860032,18.781803846359253
1.0,41.0,2.170928798860031,19.329020977020264
1.0,42.0,2.152510144146199,19.173768520355225
1.0,43.0,2.152510144146199,19.59480357170105
1.0,44.0,2.14611662348745,19.15625262260437
1.0,45.0,2.1443613310620058,19.45670509338379
1.0,46.0,2.1395329785960975,19.45300030708313
1.0,47.0,2.1395329785960975,18.95136833190918
1.0,48.0,2.1378773574223353,19.639625310897827
1.0,49.0,2.1374435718332805,19.1365008354187
1.0,50.0,2.1374435718332805,18.84323239326477
1.0,51.0,2.1374435718332805,20.336812734603882
1.0,52.0,2.137001124610789,19.312671422958374
1.0,53.0,2.1364070513481597,18.747052907943726
1.0,54.0,2.136332960339916,18.705587148666382
1.0,55.0,2.1363141903134357,18.81738781929016
1.0,56.0,2.1360997725912445,18.511528491973877
1.0,57.0,2.1360997725912445,19.19680953025818
1.0,58.0,2.1360997725912445,19.36969828605652
1.0,59.0,2.1360997725912445,18.41482400894165
1.0,60.0,2.1360918499330346,18.760173082351685
1.0,61.0,2.135819799936677,18.744374990463257
1.0,62.0,2.081043484621634,18.435566902160645
1.0,63.0,2.0602708504869787,18.66467547416687
1.0,64.0,2.0602708504869787,18.46373224258423
1.0,65.0,2.0519694096400474,18.879844427108765
1.0,66.0,2.0519694096400474,19.472846269607544
1.0,67.0,2.0519694096400474,19.138295888900757
1.0,68.0,2.0471116176757724,18.844023942947388
1.0,69.0,2.046961346532512,18.63165044784546
1.0,70.0,2.046961346532512,19.01183581352234
1.0,71.0,2.0451419855783417,19.443845510482788
1.0,72.0,2.044854869530172,18.646894216537476
1.0,73.0,2.0435723623059094,19.17197608947754
1.0,74.0,2.0435723623059094,18.6876962184906
1.0,75.0,2.0429912290582406,18.671339988708496
1.0,76.0,2.0429135076810105,19.31558895111084
1.0,77.0,2.0429135076810105,19.056005001068115
1.0,78.0,2.0227293880333543,19.19934368133545
1.0,79.0,2.018226313151273,19.619369506835938
1.0,80.0,2.0125933148230426,18.928406715393066
1.0,81.0,2.0051585707712882,19.40639591217041
1.0,82.0,2.0015800223122313,19.80735206604004
1.0,83.0,1.995158432501649,21.4637668132782
1.0,84.0,1.995158432501649,21.899778127670288
1.0,85.0,1.995158432501649,19.150805473327637
1.0,86.0,1.9892855771990003,18.975645303726196
1.0,87.0,1.9886392996385263,19.038812398910522
1.0,88.0,1.9885711192192217,18.610883474349976
1.0,89.0,1.9863787667261732,19.970389366149902
1.0,90.0,1.9863787667261732,19.058502674102783
1.0,91.0,1.9863787667261732,19.109269380569458
1.0,92.0,1.9859669707045944,18.889029026031494
1.0,93.0,1.985638582353515,18.91648554801941
1.0,94.0,1.985638582353515,18.858431577682495
1.0,95.0,1.985638582353515,19.212860584259033
1.0,96.0,1.9855876548542426,18.811579942703247
1.0,97.0,1.985508976204475,18.96903967857361
1.0,98.0,1.9854974550419744,19.354665756225586
1.0,99.0,1.9854669771800948,19.902209758758545
1.0,100.0,1.9854230946370541,19.929170608520508
4.0,1.0,2.7811753069686094,17.172893047332764
4.0,2.0,2.7174576721977663,18.771693468093872
4.0,3.0,2.6372142327413615,19.5093412399292
4.0,4.0,2.362733568824519,19.700116872787476
4.0,5.0,2.3257715232399923,18.80492401123047
4.0,6.0,2.248649953508843,18.86910843849182
4.0,7.0,2.18399644917847,18.60847306251526
4.0,8.0,2.1456028811598045,19.803491353988647
4.0,9.0,2.0543744065806466,18.58769726753235
4.0,10.0,2.0543744065806466,19.534592390060425
4.0,11.0,2.0305592459062196,18.611384630203247
4.0,12.0,1.8046693525028155,19.323113441467285
4.0,13.0,1.7538988941879095,18.81948947906494
4.0,14.0,1.7312477549014729,18.86707043647766
4.0,15.0,1.71771794097326,19.55124592781067
4.0,16.0,1.6982380713388903,19.555025577545166
4.0,17.0,1.6858953172881208,19.039209127426147
4.0,18.0,1.6718467704216624,18.644768238067627
4.0,19.0,1.6410871586645457,18.829843282699585
4.0,20.0,1.5629159464620894,18.91998529434204
4.0,21.0,1.5413168074694834,18.74598217010498
4.0,22.0,1.5266952151251016,19.088605165481567
4.0,23.0,1.5143019550411392,18.850606441497803
4.0,24.0,1.4964884917807686,19.577319383621216
4.0,25.0,1.474380940512141,19.444499969482422
4.0,26.0,1.4230624159441467,18.985774278640747
4.0,27.0,1.384142577190468,20.31381893157959
4.0,28.0,1.3688473893565918,18.630390405654907
4.0,29.0,1.362570303614003,19.40719437599182
4.0,30.0,1.1766845344610384,19.00363063812256
4.0,31.0,1.0607672867237956,18.54793071746826
4.0,32.0,1.0607672867237956,19.34259295463562
4.0,33.0,1.0607672867237956,20.21635103225708
4.0,34.0,0.9984128866778264,19.250142097473145
4.0,35.0,0.9462903069080275,19.017590522766113
4.0,36.0,0.9176515465262173,19.015538692474365
4.0,37.0,0.8885868636844569,18.903752088546753
4.0,38.0,0.8808659782110141,19.237297534942627
4.0,39.0,0.8616848115136887,19.59332585334778
4.0,40.0,0.8616848115136887,18.942331314086914
4.0,41.0,0.8490849503975102,19.50395631790161
4.0,42.0,0.8156407113250627,19.486129999160767
4.0,43.0,0.8114147076558902,18.736114740371704
4.0,44.0,0.7950713685951344,18.777986764907837
4.0,45.0,0.7749730802733943,18.725553512573242
4.0,46.0,0.7749730802733943,19.482223510742188
4.0,47.0,0.7664275120932978,19.973573207855225
4.0,48.0,0.7625258662500458,19.9477641582489
4.0,49.0,0.758593151263209,19.990442514419556
4.0,50.0,0.758593151263209,18.812514305114746
4.0,51.0,0.7577262349698414,19.460933685302734
4.0,52.0,0.7555211838436948,18.655200481414795
4.0,53.0,0.7543877570534232,19.57919692993164
4.0,54.0,0.7543877570534232,19.50778603553772
4.0,55.0,0.753680688884946,18.57990312576294
4.0,56.0,0.7530253957401288,18.638404846191406
4.0,57.0,0.7496330696473605,19.5478835105896
4.0,58.0,0.7139166859105475,18.69050621986389
4.0,59.0,0.7139166859105475,19.138520002365112
4.0,60.0,0.7054283019625173,18.711653232574463
4.0,61.0,0.7054283019625173,18.674174308776855
4.0,62.0,0.7029177301811409,18.633581399917603
4.0,63.0,0.7001906630531669,19.589947938919067
4.0,64.0,0.6884067846981381,18.55580496788025
4.0,65.0,0.6884067846981381,19.00504779815674
4.0,66.0,0.5496352729845313,18.782813787460327
4.0,67.0,0.5354979132925265,18.620893716812134
4.0,68.0,0.5284989479092101,19.03605008125305
4.0,69.0,0.5246199708292398,19.164994478225708
4.0,70.0,0.48694495933625237,18.532235622406006
4.0,71.0,0.43372486908542596,18.61286449432373
4.0,72.0,0.41713629013004827,18.605490684509277
4.0,73.0,0.37226472925488824,18.573501348495483
4.0,74.0,0.36874473963784354,19.36717700958252
4.0,75.0,0.3597666297952601,18.581708192825317
4.0,76.0,0.3597666297952601,18.743881940841675
4.0,77.0,0.35323674999449983,19.421773195266724
4.0,78.0,0.34971103760987476,18.482208013534546
4.0,79.0,0.3157178661644894,18.887260675430298
4.0,80.0,0.3146508432240049,19.25297975540161
4.0,81.0,0.30506108195217013,18.709975957870483
4.0,82.0,0.30506108195217013,18.756877422332764
4.0,83.0,0.30443662649330483,20.885665893554688
4.0,84.0,0.30443662649330483,21.788180351257324
4.0,85.0,0.30365966723537985,19.752238035202026
4.0,86.0,0.3029125343984659,19.27830457687378
4.0,87.0,0.3024927687052847,18.78053855895996
4.0,88.0,0.3024927687052847,18.913291931152344
4.0,89.0,0.3024927687052847,20.536757946014404
4.0,90.0,0.30135092145407966,19.188227653503418
4.0,91.0,0.30135092145407966,19.726704120635986
4.0,92.0,0.3013425450007281,19.772772073745728
4.0,93.0,0.3009796866939315,18.923931121826172
4.0,94.0,0.3009796866939315,19.72612190246582
4.0,95.0,0.30097375001753257,18.833176851272583
4.0,96.0,0.2973509222962924,19.52628445625305
4.0,97.0,0.27841981334288074,19.43316078186035
4.0,98.0,0.27566899454285854,19.35573101043701
4.0,99.0,0.2631025506667757,19.64974069595337
4.0,100.0,0.25894271854781964,19.22239875793457
9.0,1.0,2.7956330038048103,17.346269845962524
9.0,2.0,2.6952305349629215,18.907731294631958
9.0,3.0,2.6377168397124837,18.93771481513977
9.0,4.0,2.382398706777414,19.31705093383789
9.0,5.0,2.239363278418062,18.979485511779785
9.0,6.0,2.239363278418062,19.244436025619507
9.0,7.0,1.9068478124915424,19.171603202819824
9.0,8.0,1.8965852856621763,18.872039556503296
9.0,9.0,1.5731248089072232,19.367056131362915
9.0,10.0,1.5731248089072232,18.83366298675537
9.0,11.0,1.4458088912270923,18.945796012878418
9.0,12.0,1.363839056195335,18.982075929641724
9.0,13.0,1.3251471223834475,19.91660237312317
9.0,14.0,1.3074725255525506,19.158082723617554
9.0,15.0,1.2790959489756535,19.145187854766846
9.0,16.0,1.259981603240379,18.802464723587036
9.0,17.0,1.2126313265250444,18.962419509887695
9.0,18.0,1.182514758395525,19.036534547805786
9.0,19.0,1.148408171505508,19.049768686294556
9.0,20.0,1.1468933060964202,19.031691074371338
9.0,21.0,1.1284079136254326,19.585819244384766
9.0,22.0,1.104710550777498,18.756268978118896
9.0,23.0,1.100689387185863,19.283547163009644
9.0,24.0,1.0996529170536231,19.515930652618408
9.0,25.0,1.099652917053623,18.93708109855652
9.0,26.0,1.0978326344432616,20.109747171401978
9.0,27.0,1.0947454396876817,19.5784113407135
9.0,28.0,1.0831347257874124,19.56879186630249
9.0,29.0,1.0063340704219552,19.071393251419067
9.0,30.0,1.0000718916044053,19.343037128448486
9.0,31.0,0.9774852944380203,18.780102968215942
9.0,32.0,0.970740758472346,18.7439022064209
9.0,33.0,0.9680622171222492,20.12803626060486
9.0,34.0,0.9561388141429703,18.99209213256836
9.0,35.0,0.9453857532865176,18.862706661224365
9.0,36.0,0.843907758875581,18.94631862640381
9.0,37.0,0.843907758875581,19.719133138656616
9.0,38.0,0.7816643517975355,18.930529594421387
9.0,39.0,0.7801213418461588,19.005144357681274
9.0,40.0,0.7677677651681314,19.840952157974243
9.0,41.0,0.7163474378041899,19.24159002304077
9.0,42.0,0.6335251148743681,18.99161434173584
9.0,43.0,0.5818270454608077,19.014444828033447
9.0,44.0,0.5621506130551289,18.81080937385559
9.0,45.0,0.5465143163732091,18.89305591583252
9.0,46.0,0.5374692219059485,20.26130485534668
9.0,47.0,0.5358719835788881,19.135255098342896
9.0,48.0,0.5308867936656609,18.907937049865723
9.0,49.0,0.5286538193762857,18.887162923812866
9.0,50.0,0.5259712548415836,19.64982795715332
9.0,51.0,0.5256628426130113,18.941798210144043
9.0,52.0,0.5113173497999827,19.22214984893799
9.0,53.0,0.5093750616697942,18.72076678276062
9.0,54.0,0.4924632725750869,19.477547645568848
9.0,55.0,0.4859547247846611,19.215638399124146
9.0,56.0,0.4852341027493635,19.198349952697754
9.0,57.0,0.4845731454326697,18.923229455947876
