iteration,gen,bestfitness,time
7.0,1.0,2.7317703529533683,17.838881492614746
7.0,2.0,2.673979689630586,20.277387380599976
7.0,3.0,2.6620715633302683,19.91105556488037
7.0,4.0,2.6620715633302683,20.310531616210938
7.0,5.0,2.59840186623075,21.73880958557129
7.0,6.0,2.59840186623075,20.074068546295166
7.0,7.0,2.5932577157648753,20.38887333869934
7.0,8.0,2.5932577157648753,20.025203466415405
7.0,9.0,2.5932577157648753,20.558340787887573
7.0,10.0,2.5796628325176627,20.401158809661865
7.0,11.0,2.5796628325176627,20.62973952293396
7.0,12.0,2.5425085698537018,20.62630820274353
7.0,13.0,2.5425085698537018,20.614038228988647
7.0,14.0,2.5217993506861305,20.312809944152832
7.0,15.0,2.511352809061742,20.38017773628235
7.0,16.0,2.511352809061742,20.43117046356201
7.0,17.0,2.511352809061742,21.42723321914673
7.0,18.0,2.511352809061742,20.56542444229126
7.0,19.0,2.511352809061742,20.457730770111084
7.0,20.0,2.511352809061742,20.260196208953857
7.0,21.0,2.511352809061742,20.925922393798828
7.0,22.0,2.511352809061742,20.669151544570923
7.0,23.0,2.495100569747596,20.35220170021057
7.0,24.0,2.475278974968599,20.874343633651733
7.0,25.0,2.475278974968599,20.954266786575317
7.0,26.0,2.463766049503629,20.47533082962036
7.0,27.0,2.463766049503629,20.34249782562256
7.0,28.0,2.4409049948758477,20.596073150634766
7.0,29.0,2.4409049948758477,21.521344661712646
7.0,30.0,2.4292272731160574,20.662553310394287
7.0,31.0,2.4292272731087183,20.87909173965454
7.0,32.0,2.420853294872757,20.976847410202026
7.0,33.0,2.411039960275952,20.218196392059326
7.0,34.0,2.4024926244876252,20.236135721206665
7.0,35.0,2.3640018775987772,20.323238611221313
7.0,36.0,2.3640018775987772,21.18538475036621
7.0,37.0,2.3640018775987772,21.060940504074097
7.0,38.0,2.3640018775987772,22.6109676361084
7.0,39.0,2.3640018775987772,20.036269426345825
7.0,40.0,2.3532636625089327,19.88631582260132
7.0,41.0,2.3532636625089327,19.642566204071045
7.0,42.0,2.3532636625089327,19.748706102371216
7.0,43.0,2.3532636625089327,20.10757040977478
7.0,44.0,2.3532636625089327,19.9652681350708
7.0,45.0,2.3532636625089327,19.748050928115845
7.0,46.0,2.3532636625089327,19.795660734176636
7.0,47.0,2.3532636625089327,20.481866121292114
7.0,48.0,2.3532636625089327,20.221982955932617
7.0,49.0,2.3532636625089327,20.78516697883606
7.0,50.0,2.3532636625089327,20.362841844558716
7.0,51.0,2.3486367952448965,20.428579092025757
7.0,52.0,2.3486367952448965,20.69887948036194
7.0,53.0,2.348636794853927,20.068363189697266
