iteration,gen,bestfitness,time
4.0,1.0,2.8050775881361867,9.649543762207031
4.0,2.0,2.6391621193544976,10.354668378829956
4.0,3.0,2.605011644060458,10.146390438079834
4.0,4.0,2.3857875599004243,10.138391256332397
4.0,5.0,2.298547319701026,10.359292984008789
4.0,6.0,2.18467027307383,10.385517120361328
4.0,7.0,2.0279565798517116,10.50079083442688
4.0,8.0,1.9024486816476205,10.776664733886719
4.0,9.0,1.5778492180507364,11.025882959365845
4.0,10.0,1.4816963659796536,10.586477518081665
4.0,11.0,1.394739915710606,10.59691047668457
4.0,12.0,1.2637125849940412,10.75878357887268
4.0,13.0,1.2309943390973421,10.592897176742554
4.0,14.0,1.1972161266646184,10.855717897415161
4.0,15.0,1.1942697641683686,10.897246837615967
4.0,16.0,1.051341305954057,10.921633243560791
4.0,17.0,1.036047002513901,10.77448320388794
4.0,18.0,1.035429711916767,10.692073822021484
4.0,19.0,0.9989563586398632,10.784235715866089
4.0,20.0,0.959472421529954,10.801827907562256
4.0,21.0,0.9451262577504524,10.927022695541382
4.0,22.0,0.8598901209443064,10.896913051605225
4.0,23.0,0.8254354517333665,10.956620216369629
4.0,24.0,0.7903927961300102,10.833646774291992
4.0,25.0,0.7903927961300102,10.638423204421997
4.0,26.0,0.7903927961300102,10.727635860443115
4.0,27.0,0.7903927961300102,10.942229509353638
4.0,28.0,0.7903927961300102,10.743924379348755
4.0,29.0,0.7903927961300102,10.78849482536316
4.0,30.0,0.7765932212277163,10.679605722427368
4.0,31.0,0.7717356838281224,10.85637903213501
4.0,32.0,0.7612168963232215,11.258263111114502
4.0,33.0,0.7568202375332025,10.902361154556274
4.0,34.0,0.7561294311911987,10.74310302734375
4.0,35.0,0.7526146800340493,10.917901754379272
4.0,36.0,0.7524923058671663,11.090786695480347
4.0,37.0,0.7286440251813044,10.859858512878418
4.0,38.0,0.7286440251813044,10.69664216041565
4.0,39.0,0.7286440251813044,10.72810411453247
4.0,40.0,0.7286440251813044,10.927281618118286
4.0,41.0,0.7249726619352131,10.980950593948364
4.0,42.0,0.7249726619352131,10.712945699691772
4.0,43.0,0.7249726619352131,10.737709760665894
4.0,44.0,0.7249726619352131,10.741075277328491
4.0,45.0,0.7249300279222682,10.647808313369751
4.0,46.0,0.7191584015234762,11.116222143173218
4.0,47.0,0.5269370516443737,10.851852178573608
4.0,48.0,0.5269370516443737,10.751113176345825
4.0,49.0,0.5269370516443737,10.76506495475769
4.0,50.0,0.4753095921286417,10.869609355926514
4.0,51.0,0.4753095921286417,10.834409236907959
4.0,52.0,0.4753095921286417,11.418943881988525
4.0,53.0,0.39884253499279854,10.87068486213684
